State,Title,Description,Type
TX,Electric Vehicle Supply Equipment (EVSE) Rebate – United Cooperative Services (UCS),"UCS offers residential customers a rebate of up to $500 to install a Level 2 EVSE. For more information, including eligibility and how to apply, see the UCS <a href=""https://www.united-cs.com/rebate-programs"">Energy Rebate Programs</a> website.",Utility/Private Incentives
VT,Plug-in Electric Vehicle (PEV) Rebates – Vermont Public Power Supply Authority (VPPSA),"VPPSA member customers are eligible for rebates of up to $1,000 on the purchase of a new BEV, and up to $500 on the purchase of a new plug-in hybrid electric vehicle (PHEV). VPPSA also offers rebates of $500 for the purchase of a pre-owned BEV and $250 for the purchase of a pre-owned PHEV. Low-income customers may receive an additional $400 rebate for a new BEV or PHEV. For more information visit the VPPSA  <a href=""https://vppsa.com/resources/rebate-forms/"">Electric Vehicle Rebate</a> website. ",Utility/Private Incentives
VT,Plug-in Electric Vehicle (PEV) Rebate – Stowe Electric,"Stowe Electric offers customers rebates for the purchase or lease of PEVs. New plug-in hybrid electric vehicles (PHEVs) are eligible for a $750 rebate, new all-electric vehicles (EVs) are eligible for a $1,000 rebate, and income-qualifying customers are eligible for an additional $250 rebate for either vehicle. Stowe Electric also offers a $400 rebate for the purchase of used EVs and a $300 rebate for the purchase of used PHEVs. For more information, including how to apply, see the Stowe Electric  <a href=""https://www.stoweelectric.com/programs/rebate-programs"">Rebate Programs</a> website. ",Utility/Private Incentives
NJ,Plug-In Electric Vehicle (PEV) and Electric Vehicle Supply Equipment (EVSE) Deployment Goals,"The State of New Jersey will work to increase the number of PEVs and related infrastructure to meet the following state goals: 
</p><ul><li>10% of new buses purchased by the New Jersey Transit Corporation must be zero emission vehicles (ZEV) by December 31, 2024. Then 50% of new buses must be ZEV by December 31, 2026, and 100% must be ZEV by December 31, 2032.<li>By December 31, 2025, there must be 400 direct-current fast chargers (DCFC) and 1,000 Level 2 EVSE installed and available for public use at minimally 200 locations. 75 locations must include at least two DCFC installed along travel corridors, while 100 locations must include at least two DCFC in community locations. Additionally, 15% of all multi-family residential properties must include EVSE infrastructure and 20% of all franchised overnight lodging must have EVSE available for guests. <li> By December 31, 2035, there will be 2 million registered light-duty PEVs in the state, and 100% of state-owned, non-emergency light-duty vehicles must be PEVs. <li> By December 31, 2040, 85% of all new light-duty vehicles sold in the state will be PEVs.</ul></p>
The New Jersey Board of Public Utilities (NJBPU) must establish goals for transportation electrification and infrastructure development for medium- and heavy-duty on-road diesel vehicles and charging infrastructure by December 31, 2020.</p>

By July 15, 2020, the New Jersey Department of Environmental Protection (NJDEP) will develop and implement a public education program regarding the availability and benefits of PEVs, state PEV goals, and the availability of PEV and EVSE incentives.</p>

The NJDEP and NJBPU must prepare and submit a report to the governor and legislature every five years on the state of the PEV market in New Jersey, progress towards achieving the above goals, barriers to the achievement of the goals, and recommendations for legislative or regulatory action to address barriers. (Reference <a href=""https://www.njleg.state.nj.us/"">Senate Bill</a> 2252, 2018)
",Laws and Regulations
NJ,Plug-In Electric Vehicle (PEV) Rebate Program,"The New Jersey Board of Public Utilities offers state residents a rebate in the amount of $25 per mile of all-electric range, up to $5,000, to purchase or lease a new PEV with an MSRP of $55,000 or less. Rebates may be limited to one award per person. PEVs must be purchased or leased after January 17, 2020. The plug-in hybrid electric vehicle rebate expires December 31, 2022, and all-electric vehicle rebates expire June 30, 2030. For more information, see New Jersey’s Clean Energy Program <a href=""https://www.njcleanenergy.com/ev"">Electric Vehicle Incentive Program</a> website.",State Incentives
MD,Electric Vehicle Supply Equipment (EVSE) Residential Rebate – Potomac Edison,"Potomac Edison offers residential customers a $300 rebate for the purchase and installation of a qualified Level 2 EVSE through the EV Driven Program. For more information, including eligibility and qualifying EVSE, see the <a href=""https://firstenergycorp.com/content/customer/help/saving_energy/electric-vehicles/maryland-ev/maryland-ev.html"">EV Driven</a> website.",Utility/Private Incentives
MD,Electric Vehicle Supply Equipment (EVSE) Charging Rate Incentive – Potomac Edison,"Potomac Edison offers residential customers the opportunity to earn 2 cents per kilowatt-hour when charging with eligible EVSE on weekends and from 11pm to 6am on weekdays through the EV Driven Off-Peak Rewards Program. For more information, see the <a href=""https://firstenergycorp.com/content/customer/help/saving_energy/electric-vehicles/maryland-ev/maryland-ev.html"">EV Driven</a> website.",Utility/Private Incentives
IN,Plug-In Electric Vehicle (PEV) Charging Rate - Indiana Michigan Power,"Indiana Michigan Power offers a time-of-use (TOU) rate to residential customers for PEV. TOU rate off-peak hours are between 9pm and 7am Monday through Friday and all-day Saturday and Sunday. Indiana Michigan Power may require customers to install a metering system that is capable of separately tracking PEV charging. For more information, see the Indiana Michigan Power <a href=""https://www.indianamichiganpower.com/account/bills/rates/IandMRatesTariffsIN.aspx"">Rates and Tariffs</a> website.",Utility/Private Incentives
NJ,Energy Master Plan,"New Jersey has developed an Energy Master Plan (EMP) that will guide the State to achieve its goals of electrifying the transportation sector and achieving 100% carbon-neutral electricity generation by 2050. The EMP calls for decarbonization of the transportation sector through:

</p><ul><li>Supporting the deployment of 330,000 light-duty electric vehicles (EVs) by 2025;
<li>Deploying electric vehicle supply equipment (EVSE) throughout the state;
<li>Creating incentives for EVSE;
<li>Educating consumers and fleet owners on EVs;
<li>Transitioning state fleet vehicles to EVs;
<li>Partnering with industry to develop incentives for medium- and heavy-duty battery electric or fuel-cell vehicles; and
<li>Exploring policies that accelerate the adoption of alternative fuels.</ul></p>

For more information, see the <a href=""https://nj.gov/emp/"">Energy Master Plan</a> website.",Laws and Regulations
WA,Plug-In Electric Vehicle (PEV) Charging Study Incentive - Tacoma Public Utility (TPU) ,"TPU is conducting a study to understand the charging patterns for residential PEVs. In exchange for completion of surveys about PEV charging and use, TPU customers may be eligible for an up to $250 incentive per year. Eligible residential customers must own or lease a PEV and own their own charging equipment. For more information, see the TPU <a href=""https://www.mytpu.org/community-environment/clean-renewable-energy/electric-vehicles/electric-vehicle-charging/"">EV Charging Study</a> website.",Utility/Private Incentives
VA,Plug-In Electric Vehicle (PEV) Time-of-Use (TOU) Rate – Appalachian Power Company,"Appalachian Power Company offers a TOU rate to residential customers that own a PEV. Off-peak hours are 8pm to 6am on weekdays and all day on Saturdays and Sundays. Eligible customers must have a meter that is capable of separately identifying PEV usage. For more information, including billing rates and additional service conditions, see the Appalachian Power Company <a href=""https://www.appalachianpower.com/account/bills/rates/apcoratestariffsva.aspx"">Virginia Rates & Tariffs</a> website. This service is experimental and only available until September 12, 2023.",Utility/Private Incentives
UT,Residential Electric Vehicle Supply Equipment (EVSE) Rebate - Rocky Mountain Power,"Rocky Mountain Power provides rebates for residential customers for the purchase of Level 2 EVSE. Level 2 EVSE purchased on or after January 1, 2020, are eligible for a rebate of 75% of equipment cost, up to $200 per EVSE. Rebates are available on a first-come, first-served basis. Additional terms and conditions apply. For more information, see the Rocky Mountain Power <a href=""https://www.rockymountainpower.net/savings-energy-choices/electric-vehicles/utah-incentives.html"">Utah Electric Vehicle Incentives</a> website.",Utility/Private Incentives
UT,Residential Electric Vehicle Time of Use (TOU) Rate Pilot – Rocky Mountain Power,"Rocky Mountain Power offers a TOU rate to residential customers that own plug-in electric vehicles. Residential customers that participate for one year are eligible for a $200 incentive. This program ends January 1, 2022. For more information, see the Rocky Mountain Power <a href=""https://www.rockymountainpower.net/savings-energy-choices/electric-vehicles/utah-incentives.html"">Utah Electric Vehicle Incentives</a> website.",Utility/Private Incentives
UT,Electric Vehicle Emissions Inspections Exemption,"Vehicles powered exclusively by electricity are exempt from state motor vehicle emissions inspections. (Reference Utah <a href=""https://le.utah.gov/"">House Bill</a> 180, 2020, and <a href=""https://le.utah.gov/xcode/code.html"">Utah Code</a> 41-1a-1223 and 41-6a-1642)",State Incentives
OR,Plug-in Electric Vehicle (PEV) Charging Rate Incentive - Portland General Electric (PGE),"PGE offers a discounted time-of-use (TOU) electricity rate for customers with a PEV. The TOU rate is for charging during the off-peak period. Additional terms and conditions apply. For more information, see the PGE <a href=""https://www.portlandgeneral.com/residential/electric-vehicles-charging-stations/cost-savings/"">Cost Savings</a> website.",Utility/Private Incentives
